oblast,week_ending,total_damaged_buildings
Autonomous Republic of Crimea,2026-07-05,2
Chernihivska,2026-07-05,4
Dnipropetrovska,2026-07-05,11
Donetska,2026-07-05,1
Kharkivska,2026-07-05,5
Poltavska,2026-07-05,1
Sumska,2026-07-05,2
Zaporizka,2026-07-05,8
Autonomous Republic of Crimea,2026-06-28,8
Chernihivska,2026-06-28,10
Dnipropetrovska,2026-06-28,35
Donetska,2026-06-28,3
Kharkivska,2026-06-28,15
Khersonska,2026-06-28,3
Kyiv,2026-06-28,2
Mykolaivska,2026-06-28,1
Odeska,2026-06-28,1
Poltavska,2026-06-28,2
Sevastopol,2026-06-28,1
Sumska,2026-06-28,14
Zaporizka,2026-06-28,16
Autonomous Republic of Crimea,2026-06-21,2
Chernihivska,2026-06-21,1
Dnipropetrovska,2026-06-21,38
Donetska,2026-06-21,7
Kharkivska,2026-06-21,13
Khersonska,2026-06-21,1
Kirovohradska,2026-06-21,2
Kyiv,2026-06-21,18
Kyivska,2026-06-21,3
Mykolaivska,2026-06-21,2
Odeska,2026-06-21,2
Poltavska,2026-06-21,5
Sumska,2026-06-21,19
Zaporizka,2026-06-21,14
Autonomous Republic of Crimea,2026-06-14,5
Chernihivska,2026-06-14,5
Dnipropetrovska,2026-06-14,38
Donetska,2026-06-14,4
Kharkivska,2026-06-14,21
Khersonska,2026-06-14,2
Mykolaivska,2026-06-14,1
Poltavska,2026-06-14,2
Sumska,2026-06-14,3
Zaporizka,2026-06-14,6
Zhytomyrska,2026-06-14,1
Autonomous Republic of Crimea,2026-06-07,1
Chernihivska,2026-06-07,9
Dnipropetrovska,2026-06-07,31
Kharkivska,2026-06-07,19
Khersonska,2026-06-07,2
Khmelnytska,2026-06-07,1
Kyiv,2026-06-07,30
Kyivska,2026-06-07,6
Mykolaivska,2026-06-07,1
Odeska,2026-06-07,9
Poltavska,2026-06-07,2
Sumska,2026-06-07,11
Zaporizka,2026-06-07,12
Autonomous Republic of Crimea,2026-05-31,2
Chernihivska,2026-05-31,9
Dnipropetrovska,2026-05-31,22
Donetska,2026-05-31,11
Kharkivska,2026-05-31,4
Khersonska,2026-05-31,4
Mykolaivska,2026-05-31,1
Odeska,2026-05-31,4
Rivnenska,2026-05-31,1
Sumska,2026-05-31,7
Zaporizka,2026-05-31,2
Cherkaska,2026-05-24,1
Chernihivska,2026-05-24,27
Dnipropetrovska,2026-05-24,34
Donetska,2026-05-24,2
Kharkivska,2026-05-24,19
Khersonska,2026-05-24,1
Kyiv,2026-05-24,38
Kyivska,2026-05-24,3
Odeska,2026-05-24,6
Poltavska,2026-05-24,2
Sumska,2026-05-24,12
Zaporizka,2026-05-24,3
Cherkaska,2026-05-17,1
Chernihivska,2026-05-17,8
Dnipropetrovska,2026-05-17,16
Donetska,2026-05-17,1
Ivano-Frankivska,2026-05-17,5
Kharkivska,2026-05-17,20
Kyiv,2026-05-17,6
Kyivska,2026-05-17,4
Lvivska,2026-05-17,1
Mykolaivska,2026-05-17,1
Odeska,2026-05-17,2
Poltavska,2026-05-17,4
Sumska,2026-05-17,2
Volynska,2026-05-17,3
Zakarpatska,2026-05-17,3
Zaporizka,2026-05-17,4
Chernihivska,2026-05-10,9
Dnipropetrovska,2026-05-10,29
Donetska,2026-05-10,6
Kharkivska,2026-05-10,22
Khersonska,2026-05-10,1
Kyivska,2026-05-10,2
Mykolaivska,2026-05-10,1
Odeska,2026-05-10,1
Poltavska,2026-05-10,4
Sumska,2026-05-10,7
Zaporizka,2026-05-10,10
Cherkaska,2026-05-03,3
Chernihivska,2026-05-03,6
Dnipropetrovska,2026-05-03,27
Donetska,2026-05-03,2
Kharkivska,2026-05-03,20
Khersonska,2026-05-03,5
Kyiv,2026-05-03,2
Odeska,2026-05-03,10
Poltavska,2026-05-03,1
Sumska,2026-05-03,11
Ternopilska,2026-05-03,1
Vinnytska,2026-05-03,5
Zaporizka,2026-05-03,1
Chernihivska,2026-04-26,20
Dnipropetrovska,2026-04-26,26
Donetska,2026-04-26,14
Kharkivska,2026-04-26,19
Kyivska,2026-04-26,3
Mykolaivska,2026-04-26,1
Odeska,2026-04-26,3
Sumska,2026-04-26,1
Zaporizka,2026-04-26,8
Chernihivska,2026-04-19,8
Dnipropetrovska,2026-04-19,27
Donetska,2026-04-19,6
Kharkivska,2026-04-19,14
Khersonska,2026-04-19,4
Kyiv,2026-04-19,10
Kyivska,2026-04-19,1
Odeska,2026-04-19,9
Poltavska,2026-04-19,2
Sumska,2026-04-19,5
Zaporizka,2026-04-19,9
Autonomous Republic of Crimea,2026-04-12,1
Chernihivska,2026-04-12,7
Dnipropetrovska,2026-04-12,26
Donetska,2026-04-12,4
Kharkivska,2026-04-12,11
Khersonska,2026-04-12,2
Odeska,2026-04-12,9
Sumska,2026-04-12,5
Chernihivska,2026-04-05,3
Dnipropetrovska,2026-04-05,628
Donetska,2026-04-05,15
Kharkivska,2026-04-05,27
Khmelnytska,2026-04-05,3
Kyivska,2026-04-05,9
Odeska,2026-04-05,3
Poltavska,2026-04-05,2
Sumska,2026-04-05,6
Ternopilska,2026-04-05,1
Volynska,2026-04-05,2
Zaporizka,2026-04-05,2
Zhytomyrska,2026-04-05,2
Chernihivska,2026-03-29,12
Dnipropetrovska,2026-03-29,17
Donetska,2026-03-29,14
Ivano-Frankivska,2026-03-29,1
Kharkivska,2026-03-29,24
Khersonska,2026-03-29,14
Kirovohradska,2026-03-29,1
Kyivska,2026-03-29,3
Lvivska,2026-03-29,2
Mykolaivska,2026-03-29,4
Odeska,2026-03-29,22
Poltavska,2026-03-29,4
Sumska,2026-03-29,10
Ternopilska,2026-03-29,2
Zaporizka,2026-03-29,7
Chernihivska,2026-03-22,10
Dnipropetrovska,2026-03-22,15
Donetska,2026-03-22,5
Kharkivska,2026-03-22,9
Khersonska,2026-03-22,2
Kyiv,2026-03-22,1
Kyivska,2026-03-22,1
Mykolaivska,2026-03-22,1
Odeska,2026-03-22,13
Sumska,2026-03-22,10
Zaporizka,2026-03-22,9
Cherkaska,2026-03-15,1
Chernihivska,2026-03-15,6
Dnipropetrovska,2026-03-15,31
Donetska,2026-03-15,11
Kharkivska,2026-03-15,18
Khersonska,2026-03-15,3
Kyiv,2026-03-15,1
Kyivska,2026-03-15,9
Mykolaivska,2026-03-15,1
Sumska,2026-03-15,9
Zaporizka,2026-03-15,2
Dnipropetrovska,2026-03-08,27
Donetska,2026-03-08,10
Kharkivska,2026-03-08,5
Khersonska,2026-03-08,2
Khmelnytska,2026-03-08,1
Mykolaivska,2026-03-08,1
Odeska,2026-03-08,1
Poltavska,2026-03-08,1
Sumska,2026-03-08,1
Chernihivska,2026-03-01,4
Dnipropetrovska,2026-03-01,17
Donetska,2026-03-01,5
Kharkivska,2026-03-01,16
Khersonska,2026-03-01,2
Kyivska,2026-03-01,3
Odeska,2026-03-01,13
Poltavska,2026-03-01,2
Sumska,2026-03-01,6
Zaporizka,2026-03-01,7
Chernihivska,2026-02-22,3
Dnipropetrovska,2026-02-22,51
Donetska,2026-02-22,1
Ivano-Frankivska,2026-02-22,1
Kharkivska,2026-02-22,4
Khersonska,2026-02-22,11
Kirovohradska,2026-02-22,1
Kyiv,2026-02-22,1
Kyivska,2026-02-22,11
Luhanska,2026-02-22,1
Mykolaivska,2026-02-22,1
Odeska,2026-02-22,8
Poltavska,2026-02-22,3
Sevastopol,2026-02-22,1
Sumska,2026-02-22,7
Zaporizka,2026-02-22,2
Chernihivska,2026-02-15,3
Dnipropetrovska,2026-02-15,24
Donetska,2026-02-15,21
Kharkivska,2026-02-15,9
Khersonska,2026-02-15,4
Kyiv,2026-02-15,2
Kyivska,2026-02-15,2
Odeska,2026-02-15,16
Sumska,2026-02-15,10
Volynska,2026-02-15,1
Zaporizka,2026-02-15,4
Cherkaska,2026-02-08,3
Chernihivska,2026-02-08,4
Dnipropetrovska,2026-02-08,42
Donetska,2026-02-08,8
Ivano-Frankivska,2026-02-08,2
Kharkivska,2026-02-08,7
Khersonska,2026-02-08,6
Kirovohradska,2026-02-08,2
Kyiv,2026-02-08,12
Kyivska,2026-02-08,1
Lvivska,2026-02-08,2
Mykolaivska,2026-02-08,1
Odeska,2026-02-08,7
Poltavska,2026-02-08,1
Sumska,2026-02-08,2
Vinnytska,2026-02-08,1
Volynska,2026-02-08,1
Zaporizka,2026-02-08,6
Autonomous Republic of Crimea,2026-02-01,2
Chernihivska,2026-02-01,4
Dnipropetrovska,2026-02-01,39
Donetska,2026-02-01,91
Kharkivska,2026-02-01,13
Khersonska,2026-02-01,8
Kyivska,2026-02-01,1
Luhanska,2026-02-01,1
Lvivska,2026-02-01,1
Mykolaivska,2026-02-01,1
Odeska,2026-02-01,9
Sevastopol,2026-02-01,2
Sumska,2026-02-01,3
Zaporizka,2026-02-01,6
Chernihivska,2026-01-25,6
Dnipropetrovska,2026-01-25,48
Donetska,2026-01-25,5
Kharkivska,2026-01-25,11
Kyiv,2026-01-25,11
Kyivska,2026-01-25,7
Mykolaivska,2026-01-25,1
Odeska,2026-01-25,6
Poltavska,2026-01-25,3
Sumska,2026-01-25,5
Zaporizka,2026-01-25,7
Chernihivska,2026-01-18,4
Dnipropetrovska,2026-01-18,22
Donetska,2026-01-18,5
Kharkivska,2026-01-18,8
Khersonska,2026-01-18,2
Khmelnytska,2026-01-18,3
Kyiv,2026-01-18,2
Lvivska,2026-01-18,5
Odeska,2026-01-18,16
Sumska,2026-01-18,7
Zaporizka,2026-01-18,2
Cherkaska,2026-01-11,1
Chernihivska,2026-01-11,8
Dnipropetrovska,2026-01-11,43
Donetska,2026-01-11,3
Kharkivska,2026-01-11,2
Khersonska,2026-01-11,6
Kirovohradska,2026-01-11,1
Kyiv,2026-01-11,10
Kyivska,2026-01-11,3
Odeska,2026-01-11,3
Poltavska,2026-01-11,1
Sumska,2026-01-11,1
Zaporizka,2026-01-11,1
Cherkaska,2026-01-04,3
Chernihivska,2026-01-04,2
Dnipropetrovska,2026-01-04,20
Donetska,2026-01-04,11
Kharkivska,2026-01-04,2
Khersonska,2026-01-04,3
Mykolaivska,2026-01-04,1
Odeska,2026-01-04,10
Sumska,2026-01-04,3
Volynska,2026-01-04,1
Zaporizka,2026-01-04,3
Cherkaska,2025-12-28,3
Chernihivska,2025-12-28,6
Dnipropetrovska,2025-12-28,18
Donetska,2025-12-28,1
Kharkivska,2025-12-28,5
Khersonska,2025-12-28,15
Khmelnytska,2025-12-28,1
Kyiv,2025-12-28,4
Kyivska,2025-12-28,1
Mykolaivska,2025-12-28,2
Odeska,2025-12-28,15
Poltavska,2025-12-28,1
Rivnenska,2025-12-28,1
Sumska,2025-12-28,2
Ternopilska,2025-12-28,1
Volynska,2025-12-28,3
Zaporizka,2025-12-28,4
Zhytomyrska,2025-12-28,6
Cherkaska,2025-12-21,1
Chernihivska,2025-12-21,4
Dnipropetrovska,2025-12-21,27
Donetska,2025-12-21,10
Kharkivska,2025-12-21,3
Khersonska,2025-12-21,9
Mykolaivska,2025-12-21,2
Odeska,2025-12-21,9
Sumska,2025-12-21,10
Zaporizka,2025-12-21,6
Chernihivska,2025-12-14,9
Dnipropetrovska,2025-12-14,34
Donetska,2025-12-14,16
Kharkivska,2025-12-14,6
Khersonska,2025-12-14,8
Kyivska,2025-12-14,1
Mykolaivska,2025-12-14,1
Odeska,2025-12-14,11
Sumska,2025-12-14,8
Zaporizka,2025-12-14,4
Autonomous Republic of Crimea,2025-12-07,1
Chernihivska,2025-12-07,10
Dnipropetrovska,2025-12-07,44
Donetska,2025-12-07,21
Kharkivska,2025-12-07,10
Khersonska,2025-12-07,10
Kyivska,2025-12-07,4
Lvivska,2025-12-07,2
Odeska,2025-12-07,5
Volynska,2025-12-07,4
Zaporizka,2025-12-07,5
Cherkaska,2025-11-30,1
Chernihivska,2025-11-30,5
Dnipropetrovska,2025-11-30,32
Donetska,2025-11-30,10
Kharkivska,2025-11-30,2
Khersonska,2025-11-30,4
Kyiv,2025-11-30,4
Kyivska,2025-11-30,6
Mykolaivska,2025-11-30,1
Odeska,2025-11-30,2
Poltavska,2025-11-30,1
Sumska,2025-11-30,3
Zaporizka,2025-11-30,3
Autonomous Republic of Crimea,2025-11-23,3
Cherkaska,2025-11-23,1
Chernihivska,2025-11-23,5
Dnipropetrovska,2025-11-23,74
Donetska,2025-11-23,12
Ivano-Frankivska,2025-11-23,2
Kharkivska,2025-11-23,21
Khersonska,2025-11-23,3
Khmelnytska,2025-11-23,1
Lvivska,2025-11-23,7
Mykolaivska,2025-11-23,1
Odeska,2025-11-23,5
Sumska,2025-11-23,3
Ternopilska,2025-11-23,6
Zaporizka,2025-11-23,5
Autonomous Republic of Crimea,2025-11-16,1
Cherkaska,2025-11-16,2
Chernihivska,2025-11-16,9
Dnipropetrovska,2025-11-16,35
Donetska,2025-11-16,10
Kharkivska,2025-11-16,34
Khersonska,2025-11-16,13
Kirovohradska,2025-11-16,1
Kyiv,2025-11-16,11
Kyivska,2025-11-16,3
Mykolaivska,2025-11-16,2
Odeska,2025-11-16,11
Sumska,2025-11-16,6
Zaporizka,2025-11-16,2
Autonomous Republic of Crimea,2025-11-09,1
Chernihivska,2025-11-09,2
Dnipropetrovska,2025-11-09,38
Donetska,2025-11-09,28
Kharkivska,2025-11-09,20
Khersonska,2025-11-09,9
Kirovohradska,2025-11-09,2
Kyivska,2025-11-09,1
Mykolaivska,2025-11-09,6
Odeska,2025-11-09,8
Poltavska,2025-11-09,3
Sumska,2025-11-09,9
Zaporizka,2025-11-09,3
Cherkaska,2025-11-02,2
Chernihivska,2025-11-02,15
Chernivetska,2025-11-02,1
Dnipropetrovska,2025-11-02,31
Donetska,2025-11-02,15
Ivano-Frankivska,2025-11-02,1
Kharkivska,2025-11-02,16
Khersonska,2025-11-02,14
Kyivska,2025-11-02,6
Lvivska,2025-11-02,2
Mykolaivska,2025-11-02,4
Odeska,2025-11-02,1
Poltavska,2025-11-02,2
Sumska,2025-11-02,8
Vinnytska,2025-11-02,1
Zaporizka,2025-11-02,2
Cherkaska,2025-10-26,3
Chernihivska,2025-10-26,14
Dnipropetrovska,2025-10-26,32
Donetska,2025-10-26,28
Kharkivska,2025-10-26,48
Khersonska,2025-10-26,13
Kirovohradska,2025-10-26,2
Kyiv,2025-10-26,26
Kyivska,2025-10-26,6
Mykolaivska,2025-10-26,1
Odeska,2025-10-26,2
Poltavska,2025-10-26,1
Sumska,2025-10-26,7
Zaporizka,2025-10-26,4
Autonomous Republic of Crimea,2025-10-19,6
Chernihivska,2025-10-19,11
Dnipropetrovska,2025-10-19,29
Donetska,2025-10-19,92
Kharkivska,2025-10-19,21
Khersonska,2025-10-19,21
Kirovohradska,2025-10-19,1
Mykolaivska,2025-10-19,1
Odeska,2025-10-19,1
Poltavska,2025-10-19,2
Sumska,2025-10-19,5
Zaporizka,2025-10-19,3
Autonomous Republic of Crimea,2025-10-12,1
Cherkaska,2025-10-12,6
Chernihivska,2025-10-12,19
Dnipropetrovska,2025-10-12,27
Donetska,2025-10-12,36
Kharkivska,2025-10-12,21
Khersonska,2025-10-12,10
Kirovohradska,2025-10-12,1
Kyiv,2025-10-12,3
Kyivska,2025-10-12,6
Odeska,2025-10-12,14
Poltavska,2025-10-12,9
Sumska,2025-10-12,10
Zaporizka,2025-10-12,4
Autonomous Republic of Crimea,2025-10-05,1
Cherkaska,2025-10-05,1
Chernihivska,2025-10-05,10
Dnipropetrovska,2025-10-05,23
Donetska,2025-10-05,37
Ivano-Frankivska,2025-10-05,2
Kharkivska,2025-10-05,23
Khersonska,2025-10-05,11
Kirovohradska,2025-10-05,1
Kyivska,2025-10-05,1
Lvivska,2025-10-05,8
Mykolaivska,2025-10-05,1
Odeska,2025-10-05,1
Poltavska,2025-10-05,6
Sumska,2025-10-05,17
Vinnytska,2025-10-05,1
Zaporizka,2025-10-05,5
Autonomous Republic of Crimea,2025-09-28,1
Chernihivska,2025-09-28,6
Dnipropetrovska,2025-09-28,20
Donetska,2025-09-28,52
Kharkivska,2025-09-28,14
Khersonska,2025-09-28,10
Kirovohradska,2025-09-28,1
Kyiv,2025-09-28,6
Kyivska,2025-09-28,9
Luhanska,2025-09-28,3
Mykolaivska,2025-09-28,3
Odeska,2025-09-28,21
Poltavska,2025-09-28,1
Sumska,2025-09-28,11
Zaporizka,2025-09-28,23
Chernihivska,2025-09-21,8
Dnipropetrovska,2025-09-21,49
Donetska,2025-09-21,33
Kharkivska,2025-09-21,18
Khersonska,2025-09-21,3
Khmelnytska,2025-09-21,1
Kyivska,2025-09-21,2
Mykolaivska,2025-09-21,3
Odeska,2025-09-21,2
Poltavska,2025-09-21,4
Sumska,2025-09-21,3
Zaporizka,2025-09-21,9
Cherkaska,2025-09-14,2
Chernihivska,2025-09-14,7
Dnipropetrovska,2025-09-14,43
Donetska,2025-09-14,62
Kharkivska,2025-09-14,29
Khersonska,2025-09-14,6
Khmelnytska,2025-09-14,3
Kyivska,2025-09-14,4
Lvivska,2025-09-14,1
Mykolaivska,2025-09-14,2
Odeska,2025-09-14,1
Sumska,2025-09-14,19
Vinnytska,2025-09-14,6
Volynska,2025-09-14,1
Zaporizka,2025-09-14,3
Zhytomyrska,2025-09-14,8
Chernihivska,2025-09-07,10
Dnipropetrovska,2025-09-07,24
Donetska,2025-09-07,34
Ivano-Frankivska,2025-09-07,1
Kharkivska,2025-09-07,5
Khersonska,2025-09-07,3
Khmelnytska,2025-09-07,4
Kirovohradska,2025-09-07,2
Kyiv,2025-09-07,7
Kyivska,2025-09-07,8
Lvivska,2025-09-07,2
Mykolaivska,2025-09-07,2
Odeska,2025-09-07,10
Poltavska,2025-09-07,5
Sumska,2025-09-07,13
Zaporizka,2025-09-07,9
Chernihivska,2025-08-31,6
Dnipropetrovska,2025-08-31,36
Donetska,2025-08-31,54
Kharkivska,2025-08-31,8
Khersonska,2025-08-31,12
Kyiv,2025-08-31,19
Kyivska,2025-08-31,1
Mykolaivska,2025-08-31,2
Odeska,2025-08-31,3
Poltavska,2025-08-31,3
Sumska,2025-08-31,11
Vinnytska,2025-08-31,1
Zaporizka,2025-08-31,7
Chernihivska,2025-08-24,2
Dnipropetrovska,2025-08-24,30
Donetska,2025-08-24,60
Kharkivska,2025-08-24,14
Khersonska,2025-08-24,15
Kyivska,2025-08-24,1
Lvivska,2025-08-24,5
Odeska,2025-08-24,6
Poltavska,2025-08-24,3
Rivnenska,2025-08-24,1
Sumska,2025-08-24,15
Volynska,2025-08-24,1
Zakarpatska,2025-08-24,9
Zaporizka,2025-08-24,6
Chernihivska,2025-08-17,4
Dnipropetrovska,2025-08-17,28
Donetska,2025-08-17,20
Kharkivska,2025-08-17,5
Khersonska,2025-08-17,11
Mykolaivska,2025-08-17,1
Sumska,2025-08-17,12
Zaporizka,2025-08-17,1
Chernihivska,2025-08-10,9
Dnipropetrovska,2025-08-10,29
Donetska,2025-08-10,28
Kharkivska,2025-08-10,21
Khersonska,2025-08-10,8
Khmelnytska,2025-08-10,1
Kyivska,2025-08-10,2
Odeska,2025-08-10,8
Sumska,2025-08-10,16
Zaporizka,2025-08-10,6
Dnipropetrovska,2025-08-03,49
Donetska,2025-08-03,32
Kharkivska,2025-08-03,8
Khersonska,2025-08-03,9
Khmelnytska,2025-08-03,1
Kirovohradska,2025-08-03,4
Kyiv,2025-08-03,13
Kyivska,2025-08-03,5
Mykolaivska,2025-08-03,5
Sumska,2025-08-03,8
Zaporizka,2025-08-03,7
Cherkaska,2025-07-27,7
Dnipropetrovska,2025-07-27,54
Donetska,2025-07-27,36
Ivano-Frankivska,2025-07-27,2
Kharkivska,2025-07-27,21
Khersonska,2025-07-27,9
Khmelnytska,2025-07-27,5
Kyiv,2025-07-27,7
Kyivska,2025-07-27,1
Mykolaivska,2025-07-27,5
Odeska,2025-07-27,19
Sumska,2025-07-27,14
Zaporizka,2025-07-27,4
Cherkaska,2025-07-20,2
Chernihivska,2025-07-20,3
Dnipropetrovska,2025-07-20,51
Donetska,2025-07-20,35
Kharkivska,2025-07-20,16
Khersonska,2025-07-20,16
Kirovohradska,2025-07-20,1
Kyivska,2025-07-20,2
Mykolaivska,2025-07-20,5
Odeska,2025-07-20,6
Sumska,2025-07-20,12
Vinnytska,2025-07-20,4
Zaporizka,2025-07-20,4
Chernihivska,2025-07-13,2
Chernivetska,2025-07-13,3
Dnipropetrovska,2025-07-13,37
Donetska,2025-07-13,51
Kharkivska,2025-07-13,47
Khersonska,2025-07-13,21
Khmelnytska,2025-07-13,1
Kyiv,2025-07-13,16
Kyivska,2025-07-13,1
Lvivska,2025-07-13,23
Mykolaivska,2025-07-13,8
Odeska,2025-07-13,3
Sumska,2025-07-13,10
Volynska,2025-07-13,4
Zaporizka,2025-07-13,8
Zhytomyrska,2025-07-13,1
Chernihivska,2025-07-06,1
Dnipropetrovska,2025-07-06,40
Donetska,2025-07-06,62
Kharkivska,2025-07-06,42
Khersonska,2025-07-06,21
Kyiv,2025-07-06,16
Kyivska,2025-07-06,8
Mykolaivska,2025-07-06,19
Odeska,2025-07-06,6
Poltavska,2025-07-06,7
Sumska,2025-07-06,6
Zaporizka,2025-07-06,15
Zhytomyrska,2025-07-06,1
Cherkaska,2025-06-29,7
Dnipropetrovska,2025-06-29,99
Donetska,2025-06-29,34
Ivano-Frankivska,2025-06-29,1
Kharkivska,2025-06-29,17
Khersonska,2025-06-29,26
Kyiv,2025-06-29,10
Kyivska,2025-06-29,2
Lvivska,2025-06-29,1
Mykolaivska,2025-06-29,1
Odeska,2025-06-29,9
Poltavska,2025-06-29,9
Sumska,2025-06-29,12
Ternopilska,2025-06-29,1
Zaporizka,2025-06-29,4
Cherkaska,2025-06-22,1
Dnipropetrovska,2025-06-22,45
Donetska,2025-06-22,40
Kharkivska,2025-06-22,17
Khersonska,2025-06-22,11
Kyiv,2025-06-22,9
Mykolaivska,2025-06-22,3
Odeska,2025-06-22,13
Poltavska,2025-06-22,2
Sumska,2025-06-22,6
Zaporizka,2025-06-22,10
Cherkaska,2025-06-15,1
Chernihivska,2025-06-15,4
Dnipropetrovska,2025-06-15,29
Donetska,2025-06-15,34
Kharkivska,2025-06-15,24
Khersonska,2025-06-15,9
Khmelnytska,2025-06-15,1
Kyiv,2025-06-15,17
Kyivska,2025-06-15,4
Odeska,2025-06-15,11
Poltavska,2025-06-15,6
Sumska,2025-06-15,2
Zaporizka,2025-06-15,11
Autonomous Republic of Crimea,2025-06-08,1
Cherkaska,2025-06-08,1
Chernihivska,2025-06-08,21
Dnipropetrovska,2025-06-08,31
Donetska,2025-06-08,40
Kharkivska,2025-06-08,41
Khersonska,2025-06-08,19
Kyiv,2025-06-08,11
Kyivska,2025-06-08,1
Lvivska,2025-06-08,2
Mykolaivska,2025-06-08,1
Odeska,2025-06-08,8
Poltavska,2025-06-08,6
Sumska,2025-06-08,13
Ternopilska,2025-06-08,7
Volynska,2025-06-08,4
Zaporizka,2025-06-08,6
Zhytomyrska,2025-06-08,1
Chernihivska,2025-06-01,9
Dnipropetrovska,2025-06-01,27
Donetska,2025-06-01,56
Kharkivska,2025-06-01,42
Khersonska,2025-06-01,26
Khmelnytska,2025-06-01,6
Kirovohradska,2025-06-01,2
Mykolaivska,2025-06-01,3
Odeska,2025-06-01,4
Sumska,2025-06-01,33
Zaporizka,2025-06-01,10
Zhytomyrska,2025-06-01,1
Cherkaska,2025-05-25,3
Chernihivska,2025-05-25,11
Chernivetska,2025-05-25,1
Dnipropetrovska,2025-05-25,28
Donetska,2025-05-25,47
Kharkivska,2025-05-25,43
Khersonska,2025-05-25,14
Khmelnytska,2025-05-25,2
Kyiv,2025-05-25,15
Kyivska,2025-05-25,13
Mykolaivska,2025-05-25,4
Odeska,2025-05-25,3
Poltavska,2025-05-25,6
Sumska,2025-05-25,19
Ternopilska,2025-05-25,10
Zaporizka,2025-05-25,4
Zhytomyrska,2025-05-25,4
Chernihivska,2025-05-18,7
Dnipropetrovska,2025-05-18,35
Donetska,2025-05-18,41
Kharkivska,2025-05-18,20
Khersonska,2025-05-18,18
Kyiv,2025-05-18,2
Kyivska,2025-05-18,14
Luhanska,2025-05-18,1
Mykolaivska,2025-05-18,2
Odeska,2025-05-18,2
Poltavska,2025-05-18,1
Sumska,2025-05-18,45
Cherkaska,2025-05-11,10
Dnipropetrovska,2025-05-11,19
Donetska,2025-05-11,47
Kharkivska,2025-05-11,19
Khersonska,2025-05-11,15
Kyiv,2025-05-11,5
Kyivska,2025-05-11,2
